1,1,630_morph_Asiaten_hell/05-42506_AF-1-1dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,25,0.455,0.670,15/18/25 black,1,05-42506_AF-1-1,,
2,2,630_morph_Asiaten_hell/01-06745_AF-6-12dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_2.jpg,28,0.514,1.000,32/32/37 black,1,01-06745_AF-6-12,,
3,3,630_morph_Asiaten_hell/08-31397_AF-27-13dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,23,0.513,0.250,46/46/51 darkslategray,1,08-31397_AF-27-13,,
4,4,630_morph_Asiaten_hell/06-53401_AF-1-6dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,25,0.405,1.000,9/8/13 black,1,06-53401_AF-1-6,,
5,5,630_morph_Asiaten_hell/05-42795_AF-9-26dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_3.jpg,30,0.376,0.290,6/13/19 black,1,05-42795_AF-9-26,,
6,6,630_morph_Asiaten_hell/05-32575_AF-30-4dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,27,0.535,0.670,50/72/101 darkolivegreen,1,05-32575_AF-30-4,,
7,7,630_morph_Asiaten_hell/09-22349_AF-17-7dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,29,0.638,0.750,7/14/23 black,1,09-22349_AF-17-7,,
8,8,630_morph_Asiaten_hell/05-31736_AF-4-23dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_3.jpg,31,0.438,0.500,20/22/23 black,1,05-31736_AF-4-23,,
9,9,630_morph_Asiaten_hell/09-65118_AF-26-8dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_2.jpg,36,0.325,0.500,15/17/19 black,1,09-65118_AF-26-8,,
10,10,630_morph_Asiaten_hell/09-00417_AF-12-20dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_3.jpg,28,0.513,0.670,0/0/1 black,1,09-00417_AF-12-20,,
11,11,630_morph_Asiaten_hell/03-03629_AF-3-6dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,24,0.457,0.670,45/40/40 darkslategray,1,03-03629_AF-3-6,,
12,12,630_morph_Asiaten_hell/06-37144_AF-3-18dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_2.jpg,28,0.344,1.000,34/33/36 black,1,06-37144_AF-3-18,,
13,13,630_morph_Asiaten_hell/02-00398_AF-12-1dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,25,0.431,0.830,43/34/30 darkslategray,1,02-00398_AF-12-1,,
14,14,630_morph_Asiaten_hell/05-32473_AF-27-1dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,22,0.516,0.830,13/16/22 black,1,05-32473_AF-27-1,,
15,15,630_morph_Asiaten_hell/01-00783_AF-23-23dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_3.jpg,20,0.548,0.800,19/21/24 black,1,01-00783_AF-23-23,,
16,16,630_morph_Asiaten_hell/08-08436_AF-24-20dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_2.jpg,29,0.491,0.710,19/23/35 black,1,08-08436_AF-24-20,,
17,17,630_morph_Asiaten_hell/01-01422_AF-10-2dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,29,0.357,1.000,51/66/84 darkolivegreen,1,01-01422_AF-10-2,,
18,18,630_morph_Asiaten_hell/03-03579_AF-1-6dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,20,0.566,1.000,45/41/42 darkslategray,1,03-03579_AF-1-6,,
19,19,630_morph_Asiaten_hell/07-07297_AF-17-23dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_2.jpg,19,0.477,1.000,43/46/64 darkslategray,1,07-07297_AF-17-23,,
20,20,630_morph_Asiaten_hell/02-07330_AF-24-1dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,30,0.561,0.570,33/29/27 black,1,02-07330_AF-24-1,,
21,21,630_morph_Asiaten_hell/09-64556_AF-9-7dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,28,0.429,0.830,10/15/27 black,1,09-64556_AF-9-7,,
22,22,630_morph_Asiaten_hell/08-31560_AF-32-11dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,31,0.471,0.800,10/14/15 black,1,08-31560_AF-32-11,,
23,23,630_morph_Asiaten_hell/01-09863_AF-1-28dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_4.jpg,23,0.530,0.750,9/10/11 black,1,01-09863_AF-1-28,,
24,24,630_morph_Asiaten_hell/08-30599_AF-3-7dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,26,0.553,0.710,28/30/39 black,1,08-30599_AF-3-7,,
25,25,630_morph_Asiaten_hell/05-31648_AF-2-1dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,25,0.628,0.670,14/17/23 black,1,05-31648_AF-2-1,,
26,26,630_morph_Asiaten_hell/03-04227_AF-27-4dummy0001_AGE_30_GLASSES_false_ETHNICITY_asian_TEINT_1.jpg,27,0.625,0.400,39/50/55 darkslategray,1,03-04227_AF-27-4,,
