1,1,,25,0.455,0.670,15/18/25 black ,1,05-42506_AF-1-1,,,darkbrown
2,2,,28,0.514,1.000,32/32/37 black ,1,01-06745_AF-6-12,,,brown
3,3,,23,0.513,0.250,46/46/51 darkslategray ,1,08-31397_AF-27-13,,,brown
4,4,,25,0.405,1.000,9/8/13 black ,1,06-53401_AF-1-6,,,black
5,5,,30,0.376,0.290,6/13/19 black ,1,05-42795_AF-9-26,,,darkbrown
6,6,,27,0.535,0.670,50/72/101 darkolivegreen ,1,05-32575_AF-30-4,,,lightbrown
7,7,,29,0.638,0.750,7/14/23 black ,1,09-22349_AF-17-7,,,darkbrown
8,8,,31,0.438,0.500,20/22/23 black ,1,05-31736_AF-4-23,,,darkbrown
9,9,,36,0.325,0.500,15/17/19 black ,1,09-65118_AF-26-8,,,darkbrown
10,10,,28,0.513,0.670,0/0/1 black ,1,09-00417_AF-12-20,,,black
11,11,,24,0.457,0.670,45/40/40 darkslategray ,1,03-03629_AF-3-6,,,brown
12,12,,28,0.344,1.000,34/33/36 black ,1,06-37144_AF-3-18,,,brown
13,13,,25,0.431,0.830,43/34/30 darkslategray ,1,02-00398_AF-12-1,,,brown
14,14,,22,0.516,0.830,13/16/22 black ,1,05-32473_AF-27-1,,,darkbrown
15,15,,20,0.548,0.800,19/21/24 black ,1,01-00783_AF-23-23,,,darkbrown
16,16,,29,0.491,0.710,19/23/35 black ,1,08-08436_AF-24-20,,,darkbrown
17,17,,29,0.357,1.000,51/66/84 darkolivegreen ,1,01-01422_AF-10-2,,,lightbrown
18,18,,20,0.566,1.000,45/41/42 darkslategray ,1,03-03579_AF-1-6,,,brown
19,19,,19,0.477,1.000,43/46/64 darkslategray ,1,07-07297_AF-17-23,,,lightbrown
20,20,,30,0.561,0.570,33/29/27 black ,1,02-07330_AF-24-1,,,darkbrown
21,21,,28,0.429,0.830,10/15/27 black ,1,09-64556_AF-9-7,,,darkbrown
22,22,,31,0.471,0.800,10/14/15 black ,1,08-31560_AF-32-11,,,darkbrown
23,23,,23,0.530,0.750,9/10/11 black ,1,01-09863_AF-1-28,,,black
24,24,,26,0.553,0.710,28/30/39 black ,1,08-30599_AF-3-7,,,brown
25,25,,25,0.628,0.670,14/17/23 black ,1,05-31648_AF-2-1,,,darkbrown
26,26,,27,0.625,0.400,39/50/55 darkslategray ,1,03-04227_AF-27-4,,,brown
