12, 14, 19
48, 37, 37
47, 42, 43
7, 9, 8
0, 13, 21
107, 125, 171
7, 10, 15
20, 21, 21
10, 14, 13
0, 0, 0
31, 26, 28
34, 33, 35
45, 28, 30
11, 14, 18
16, 19, 23
9, 13, 35
38, 187, 199
30, 33, 32
60, 66, 84
30, 28, 27
9, 13, 21
6, 10, 9
6, 6, 6
25, 24, 33
11, 13, 17
53, 65, 74
50, 62, 74
18, 34, 47
0, 9, 13
19, 45, 74
0, 11, 16
115, 109, 115
12, 14, 22
7, 6, 11
25, 32, 32
7, 8, 10
0, 9, 16
4, 7, 22
0, 16, 28
84, 81, 86
15, 16, 18
30, 28, 26
85, 92, 95
39, 32, 27
98, 83, 86
4, 6, 11
45, 36, 44
19, 32, 50
15, 17, 19
12, 13, 14
0, 7, 21
53, 73, 81
15, 17, 17
28, 31, 35
20, 23, 31
27, 29, 33
88, 87, 89
8, 21, 27
0, 3, 0
15, 14, 19
48, 54, 64
29, 31, 31
7, 7, 7
36, 33, 38
14, 23, 26
5, 7, 5
7, 7, 9
44, 32, 36
41, 29, 29
28, 28, 28
4, 4, 4
42, 37, 51
21, 23, 24
4, 6, 18
24, 31, 41
7, 8, 8
36, 37, 41
4, 5, 14
5, 7, 10
32, 31, 51
69, 82, 93
24, 20, 39
9, 14, 13
34, 33, 38
7, 7, 7
21, 29, 37
94, 90, 95
7, 8, 8
42, 35, 33
19, 28, 33
57, 53, 65
63, 78, 90
64, 54, 61
38, 52, 56
7, 9, 13
56, 70, 89
8, 15, 20
82, 80, 80
20, 32, 48
0, 3, 3
45, 34, 25
1, 1, 1
34, 56, 70
15, 16, 18
57, 53, 61
29, 60, 94
4, 7, 22
15, 17, 18
14, 17, 16
35, 34, 36
59, 53, 64
11, 14, 14
1, 1, 1
10, 11, 22
36, 36, 44
28, 37, 65
24, 19, 24
41, 31, 27
10, 27, 26
0, 12, 53
16, 24, 49
29, 15, 29
20, 20, 36
37, 38, 54
40, 35, 36
31, 34, 42
7, 9, 9
21, 33, 25
16, 18, 16
2, 0, 3
16, 26, 46
6, 15, 19
14, 16, 16
25, 26, 34
24, 36, 58
23, 33, 42
6, 8, 15
12, 15, 19
22, 25, 25
17, 27, 43
29, 32, 36
50, 49, 57
4, 7, 18
16, 25, 52
24, 26, 49
88, 82, 83
88, 80, 74
15, 42, 56
32, 26, 25
36, 58, 107
14, 16, 17
48, 50, 56
31, 26, 24
0, 13, 20
41, 54, 59
13, 15, 16
1, 1, 1
4, 4, 4
0, 30, 47
27, 31, 34
10, 21, 42
30, 36, 38
13, 15, 19
51, 46, 34
6, 9, 11
16, 17, 20
17, 18, 28
23, 26, 30
9, 21, 38
32, 40, 32
22, 40, 50
93, 87, 81
8, 10, 10
1, 1, 1
22, 35, 68
20, 28, 36
23, 25, 35
41, 64, 56
9, 9, 9
7, 8, 12
0, 10, 25
14, 14, 14
7, 10, 12
31, 49, 61
